1705-1906  17-Jan-24  170000.00   60326.70833333330            22.907188 -0.642 -5.977
   3350295035.500838    3.344622243443 GMRT   60    3   550.049                
  1.79216199241700046e-07  1.28857976034849036e-02  6.93993845658660821e-07
1705-1906  17-Jan-24  180000.00   60326.74999999990            22.907188 -0.646 -5.564
   3350307076.916511    3.344622243443 GMRT   60    3   550.049                
  1.68507172758206644e-07  1.29667058766890740e-02  6.48936722747905270e-07
1705-1906  17-Jan-24  190000.00   60326.79166666660            22.907187 -0.650 -5.374
   3350319118.336870    3.344622243443 GMRT   60    3   550.049                
  1.39671061623138651e-07  1.30398895112997168e-02  5.65865041151360534e-07
1705-1906  17-Jan-24  200000.00   60326.83333333330            22.907187 -0.653 -5.264
   3350331159.761291    3.344622243443 GMRT   60    3   550.049                
  1.08336395694311664e-07  1.31011077941381952e-02  4.50464582974695394e-07
1705-1906  17-Jan-24  210000.00   60326.87499999990            22.907187 -0.655 -5.202
   3350343201.188916    3.344622243443 GMRT   60    3   550.049                
  6.20902098334432425e-08  1.31469393598287066e-02  3.10641992158176687e-07
1705-1906  17-Jan-24  220000.00   60326.91666666660            22.907187 -0.657 -5.175
   3350355242.618801    3.344622243443 GMRT   60    3   550.049                
  1.80226515164031322e-08  1.31750165627190201e-02  1.55972732234983401e-07
1705-1906  17-Jan-24  230000.00   60326.95833333330            22.907187 -0.657 -5.178
   3350367284.049807    3.344622243443 GMRT   60    3   550.049                
 -2.74836060629174451e-08  1.31841878163814381e-02 -2.95142967402711019e-09
1705-1906  17-Jan-24       0.00   60326.99999999990            22.907186 -0.657 -5.213
   3350379325.480766    3.344622243443 GMRT   60    3   550.049                
 -7.60086527127331710e-08  1.31745963994055713e-02 -1.55246098460923590e-07
1705-1906  18-Jan-24   10000.00   60327.04166666660            22.907186 -0.655 -5.284
   3350391366.910643    3.344622243443 GMRT   60    3   550.049                
 -1.15007331959021425e-07  1.31476706988716292e-02 -2.90477729113098551e-07
1705-1906  18-Jan-24   20000.00   60327.08333333330            22.907186 -0.653 -5.406
   3350403408.338438    3.344622243443 GMRT   60    3   550.049                
 -1.51709605537362807e-07  1.31060263758953806e-02 -3.99386167962785132e-07
1705-1906  18-Jan-24   30000.00   60327.12499999990            22.907186 -0.650 -5.624
   3350415449.763343    3.344622243443 GMRT   60    3   550.049                
 -1.70822481867778813e-07  1.30532869492529843e-02 -4.74513545754626815e-07
1705-1906  18-Jan-24   40000.00   60327.16666666660            22.907185 -0.647 -6.172
   3350427491.184876    3.344622243443 GMRT   60    3   550.049                
 -1.80665312588780361e-07  1.29938357700619574e-02 -5.10713495314730733e-07
1705-1906  18-Jan-24   50000.00   60327.20833333330            22.907185 -0.644 -5.957
   3350439532.602748    3.344622243443 GMRT   60    3   550.049                
 -1.83910695481150200e-07  1.29325154640318862e-02 -5.05516201401089450e-07
1705-1906  18-Jan-24   60000.00   60327.24999999990            22.907185 -0.642 -5.556
   3350451574.016967    3.344622243443 GMRT   60    3   550.049                
 -1.66005507341274706e-07  1.28742963291054689e-02 -4.59277112740315981e-07
1705-1906  18-Jan-24   70000.00   60327.29166666660            22.907185 -0.639 -5.370
   3350463615.427924    3.344622243443 GMRT   60    3   550.049                
 -1.40396465080669672e-07  1.28239354773133172e-02 -3.75168434477592672e-07
1705-1906  18-Jan-24   80000.00   60327.33333333330            22.907185 -0.637 -5.262
   3350475656.836192    3.344622243443 GMRT   60    3   550.049                
 -1.09452615985807054e-07  1.27856511893126457e-02 -2.58962898460598373e-07
1705-1906  18-Jan-24   90000.00   60327.37499999990            22.907184 -0.636 -5.201
   3350487698.242576    3.344622243443 GMRT   60    3   550.049                
 -6.49246146019948886e-08  1.27628336447709861e-02 -1.18621243797243287e-07
1705-1906  18-Jan-24  100000.00   60327.41666666660            22.907184 -0.636 -5.175
   3350499739.648142    3.344622243443 GMRT   60    3   550.049                
 -1.74692355625484860e-08  1.27578128203884693e-02  3.62326750416126673e-08
1705-1906  18-Jan-24  110000.00   60327.45833333330            22.907184 -0.636 -5.179
   3350511781.053969    3.344622243443 GMRT   60    3   550.049                
  2.70139348703826198e-08  1.27716986213321695e-02  1.94982526219587833e-07
1705-1906  18-Jan-24  120000.00   60327.49999999990            22.907184 -0.638 -5.215
   3350523822.461169    3.344622243443 GMRT   60    3   550.049                
  7.58930299363394981e-08  1.28043049820590251e-02  3.46749990513127552e-07
1705-1906  18-Jan-24  130000.00   60327.54166666660            22.907184 -0.641 -5.287
   3350535863.870887    3.344622243443 GMRT   60    3   550.049                
  1.18029257114495518e-07  1.28541626496712271e-02  4.81130020574041945e-07
1705-1906  18-Jan-24  140000.00   60327.58333333330            22.907183 -0.644 -5.412
   3350547905.284059    3.344622243443 GMRT   60    3   550.049                
  1.46500707563563411e-07  1.29186197555981944e-02  5.88910283925538943e-07
1705-1906  18-Jan-24  150000.00   60327.62499999990            22.907183 -0.647 -5.636
   3350559946.701428    3.344622243443 GMRT   60    3   550.049                
  1.70009757063401201e-07  1.29940234722772021e-02  6.62702552526917668e-07
1705-1906  18-Jan-24  160000.00   60327.66666666660            22.907183 -0.652 -6.213
   3350571988.123582    3.344622243443 GMRT   60    3   550.049                
  1.82609629450075850e-07  1.30759705323442461e-02  6.97444906201999927e-07
