1705-1906  17-Jan-24  170000.00   60326.70833333330            22.907188 -0.642 -5.978
   3350295035.279926    3.344622243443 GMRT   60    3   500.000                
  1.79787892063662388e-07  1.28857945843891455e-02  6.93994800678628852e-07
1705-1906  17-Jan-24  180000.00   60326.74999999990            22.907188 -0.646 -5.564
   3350307076.695599    3.344622243443 GMRT   60    3   500.000                
  1.69357586892099157e-07  1.29667030530789523e-02  6.48939062059427062e-07
1705-1906  17-Jan-24  190000.00   60326.79166666660            22.907187 -0.650 -5.374
   3350319118.115958    3.344622243443 GMRT   60    3   500.000                
  1.40045162991957518e-07  1.30398870565879219e-02  5.65868893855079104e-07
1705-1906  17-Jan-24  200000.00   60326.83333333330            22.907187 -0.653 -5.264
   3350331159.540378    3.344622243443 GMRT   60    3   500.000                
  1.08246098048229169e-07  1.31011058494011883e-02  4.50469242930134171e-07
1705-1906  17-Jan-24  210000.00   60326.87499999990            22.907187 -0.655 -5.202
   3350343200.968003    3.344622243443 GMRT   60    3   500.000                
  6.24444231926114266e-08  1.31469380311087600e-02  3.10647459170326083e-07
1705-1906  17-Jan-24  220000.00   60326.91666666660            22.907187 -0.657 -5.175
   3350355242.397888    3.344622243443 GMRT   60    3   500.000                
  1.84944649424314183e-08  1.31750159111886454e-02  1.55978595837985904e-07
1705-1906  17-Jan-24  230000.00   60326.95833333330            22.907187 -0.657 -5.178
   3350367283.828895    3.344622243443 GMRT   60    3   500.000                
 -2.68074793106822554e-08  1.31841878660843223e-02 -2.94548272520384841e-09
1705-1906  17-Jan-24       0.00   60326.99999999990            22.907186 -0.657 -5.213
   3350379325.259853    3.344622243443 GMRT   60    3   500.000                
 -7.63804583630112361e-08  1.31745971185721865e-02 -1.55240414834241240e-07
1705-1906  18-Jan-24   10000.00   60327.04166666660            22.907186 -0.655 -5.284
   3350391366.689730    3.344622243443 GMRT   60    3   500.000                
 -1.15144857153746168e-07  1.31476720206828747e-02 -2.90473310871562515e-07
1705-1906  18-Jan-24   20000.00   60327.08333333330            22.907186 -0.653 -5.406
   3350403408.117526    3.344622243443 GMRT   60    3   500.000                
 -1.51746752387322719e-07  1.31060281688997575e-02 -3.99382661605275435e-07
1705-1906  18-Jan-24   30000.00   60327.12499999990            22.907186 -0.650 -5.624
   3350415449.542431    3.344622243443 GMRT   60    3   500.000                
 -1.71347315495161945e-07  1.30532890698495298e-02 -4.74511352291421698e-07
1705-1906  18-Jan-24   40000.00   60327.16666666660            22.907185 -0.647 -6.172
   3350427490.963963    3.344622243443 GMRT   60    3   500.000                
 -1.80986182288217018e-07  1.29938380567259995e-02 -5.10713045019704031e-07
1705-1906  18-Jan-24   50000.00   60327.20833333330            22.907185 -0.644 -5.957
   3350439532.381835    3.344622243443 GMRT   60    3   500.000                
 -1.83139026880197964e-07  1.29325177307864150e-02 -5.05517081136529948e-07
1705-1906  18-Jan-24   60000.00   60327.24999999990            22.907185 -0.642 -5.556
   3350451573.796055    3.344622243443 GMRT   60    3   500.000                
 -1.66025975856517780e-07  1.28742983787422157e-02 -4.59279642145479966e-07
1705-1906  18-Jan-24   70000.00   60327.29166666660            22.907185 -0.639 -5.370
   3350463615.207012    3.344622243443 GMRT   60    3   500.000                
 -1.40336527387565298e-07  1.28239371592533957e-02 -3.75172125192382751e-07
1705-1906  18-Jan-24   80000.00   60327.33333333330            22.907185 -0.637 -5.262
   3350475656.615280    3.344622243443 GMRT   60    3   500.000                
 -1.09804029280315860e-07  1.27856523623976967e-02 -2.58967744666384554e-07
1705-1906  18-Jan-24   90000.00   60327.37499999990            22.907184 -0.636 -5.201
   3350487698.021665    3.344622243443 GMRT   60    3   500.000                
 -6.44048067670812271e-08  1.27628341982094565e-02 -1.18626837977729203e-07
1705-1906  18-Jan-24  100000.00   60327.41666666660            22.907184 -0.636 -5.175
   3350499739.427230    3.344622243443 GMRT   60    3   500.000                
 -1.74084741095680180e-08  1.27578126906115925e-02  3.62267389788649830e-08
1705-1906  18-Jan-24  110000.00   60327.45833333330            22.907184 -0.636 -5.179
   3350511780.833057    3.344622243443 GMRT   60    3   500.000                
  2.70829462652378732e-08  1.27716977986174225e-02  1.94976748359911259e-07
1705-1906  18-Jan-24  120000.00   60327.49999999990            22.907184 -0.638 -5.215
   3350523822.240257    3.344622243443 GMRT   60    3   500.000                
  7.58900128954335651e-08  1.28043034900311437e-02  3.46744820743365651e-07
1705-1906  18-Jan-24  130000.00   60327.54166666660            22.907184 -0.641 -5.287
   3350535863.649975    3.344622243443 GMRT   60    3   500.000                
  1.17743500153134039e-07  1.28541605685246682e-02  4.81125680289828119e-07
1705-1906  18-Jan-24  140000.00   60327.58333333330            22.907183 -0.644 -5.412
   3350547905.063146    3.344622243443 GMRT   60    3   500.000                
  1.47066891124168602e-07  1.29186171998213681e-02  5.88906698622573700e-07
1705-1906  18-Jan-24  150000.00   60327.62499999990            22.907183 -0.647 -5.636
   3350559946.480516    3.344622243443 GMRT   60    3   500.000                
  1.70295235908346363e-07  1.29940205881665816e-02  6.62700713060095681e-07
1705-1906  18-Jan-24  160000.00   60327.66666666660            22.907183 -0.652 -6.213
   3350571987.902670    3.344622243443 GMRT   60    3   500.000                
  1.82638638023015853e-07  1.30759675003773879e-02  6.97444773004882490e-07
